"",BBEX3.D.CAD.XDR.DA.AC.000,BBEX3.D.CAD.XDR.DA.AC.000_FLAGS,BBEX3.D.CHF.XDR.DA.AC.000,BBEX3.D.CHF.XDR.DA.AC.000_FLAGS,BBEX3.D.CNY.XDR.DA.AC.000,BBEX3.D.CNY.XDR.DA.AC.000_FLAGS,BBEX3.D.DKK.XDR.DA.AC.000,BBEX3.D.DKK.XDR.DA.AC.000_FLAGS,BBEX3.D.EUR.XDR.DA.AC.000,BBEX3.D.EUR.XDR.DA.AC.000_FLAGS,BBEX3.D.GBP.XDR.DA.AC.000,BBEX3.D.GBP.XDR.DA.AC.000_FLAGS,BBEX3.D.JPY.XDR.DA.AC.000,BBEX3.D.JPY.XDR.DA.AC.000_FLAGS,BBEX3.D.NOK.XDR.DA.AC.000,BBEX3.D.NOK.XDR.DA.AC.000_FLAGS,BBEX3.D.SEK.XDR.DA.AC.000,BBEX3.D.SEK.XDR.DA.AC.000_FLAGS,BBEX3.D.USD.XDR.DA.AC.000,BBEX3.D.USD.XDR.DA.AC.000_FLAGS
"",Value of the special drawing right / XDR 1 = CAD ...,,Value of the special drawing right / XDR 1 = CHF ...,,Value of the special drawing right / XDR 1 = CNY ...,,Value of the special drawing right / XDR 1 = DKK ...,,Value of the special drawing right / XDR 1 = EUR ...,,Value of the special drawing right / XDR 1 = GBP ...,,Value of the special drawing right / XDR 1 = JPY ...,,Value of the special drawing right / XDR 1 = NOK ...,,Value of the special drawing right / XDR 1 = SEK ...,,Value of the special drawing right / XDR 1 = USD ...,
unit,CAD,,CHF,,CNY,,DKK,,EUR,,GBP,,JPY,,NOK,,SEK,,USD,
unit multiplier,one,,one,,one,,one,,one,,one,,one,,one,,one,,one,
last update,2022-01-03 13:41:01,,2022-01-03 13:41:13,,2022-01-03 13:41:33,,2022-01-03 13:41:56,,2022-01-03 13:44:37,,2022-01-03 13:44:57,,2022-01-03 13:48:15,,2022-01-03 13:52:40,,2022-01-03 13:57:42,,2022-01-03 14:00:44,
2016-01-01,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-01-02,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-01-03,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-01-04,1.93832,,1.38565,,9.03677,,9.50092,,1.27325,,0.939461,,165.831,,12.28360,,11.66810,,1.387590,
2016-01-05,1.93042,,1.39336,,8.99418,,9.57772,,1.28379,,0.940460,,164.885,,12.30900,,11.74240,,1.379560,
2016-01-06,1.94307,,1.39163,,9.03971,,9.58148,,1.28433,,0.940893,,163.486,,12.35840,,.,No value available,1.379630,
2016-01-07,1.94650,,1.38474,,9.12784,,9.50173,,1.27376,,0.950381,,163.350,,12.35230,,11.88500,,1.384330,
2016-01-08,1.95898,,1.38323,,9.12109,,9.50814,,1.27459,,0.948047,,163.767,,12.33930,,11.76310,,1.384340,
2016-01-09,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-01-10,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-01-11,1.96821,,1.38031,,9.12367,,9.49379,,1.27257,,0.951104,,.,No value available,12.31470,,11.79760,,1.385570,
2016-01-12,1.97523,,1.38215,,9.08983,,9.51692,,1.27551,,0.957698,,162.803,,12.29450,,11.77690,,1.382150,
2016-01-13,1.97254,,1.39033,,9.07597,,9.51973,,1.27587,,0.958846,,163.154,,12.19570,,11.78580,,1.379980,
2016-01-14,1.99056,,1.38756,,9.12434,,9.48758,,1.27140,,0.962825,,162.563,,12.21440,,11.80170,,1.384930,
2016-01-15,2.01002,,1.38936,,9.11344,,9.46083,,1.26768,,0.964013,,163.452,,12.18050,,11.81880,,1.383550,
