"",BBEX3.D.CAD.XDR.DA.AC.000,BBEX3.D.CAD.XDR.DA.AC.000_FLAGS,BBEX3.D.CHF.XDR.DA.AC.000,BBEX3.D.CHF.XDR.DA.AC.000_FLAGS,BBEX3.D.CNY.XDR.DA.AC.000,BBEX3.D.CNY.XDR.DA.AC.000_FLAGS,BBEX3.D.DKK.XDR.DA.AC.000,BBEX3.D.DKK.XDR.DA.AC.000_FLAGS,BBEX3.D.EUR.XDR.DA.AC.000,BBEX3.D.EUR.XDR.DA.AC.000_FLAGS,BBEX3.D.GBP.XDR.DA.AC.000,BBEX3.D.GBP.XDR.DA.AC.000_FLAGS,BBEX3.D.JPY.XDR.DA.AC.000,BBEX3.D.JPY.XDR.DA.AC.000_FLAGS,BBEX3.D.NOK.XDR.DA.AC.000,BBEX3.D.NOK.XDR.DA.AC.000_FLAGS,BBEX3.D.SEK.XDR.DA.AC.000,BBEX3.D.SEK.XDR.DA.AC.000_FLAGS,BBEX3.D.USD.XDR.DA.AC.000,BBEX3.D.USD.XDR.DA.AC.000_FLAGS
"",Value of the special drawing right / XDR 1 = CAD ...,,Value of the special drawing right / XDR 1 = CHF ...,,Value of the special drawing right / XDR 1 = CNY ...,,Value of the special drawing right / XDR 1 = DKK ...,,Value of the special drawing right / XDR 1 = EUR ...,,Value of the special drawing right / XDR 1 = GBP ...,,Value of the special drawing right / XDR 1 = JPY ...,,Value of the special drawing right / XDR 1 = NOK ...,,Value of the special drawing right / XDR 1 = SEK ...,,Value of the special drawing right / XDR 1 = USD ...,
unit,CAD,,CHF,,CNY,,DKK,,EUR,,GBP,,JPY,,NOK,,SEK,,USD,
unit multiplier,one,,one,,one,,one,,one,,one,,one,,one,,one,,one,
last update,2022-02-11 13:36:59,,2022-02-11 13:37:00,,2022-02-11 13:37:02,,2022-02-11 13:37:03,,2022-02-11 13:38:29,,2022-02-11 13:38:30,,2022-02-11 13:39:57,,2022-02-11 13:41:27,,2022-02-11 13:43:56,,2022-02-11 13:45:23,
2020-01-01,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-02,1.79813,,.,No value available,9.64255,,9.23907,,1.23651,,1.048630,,.,No value available,12.16820,,12.91870,,1.384030,
2020-01-03,1.79400,,1.34488,,9.63317,,9.26020,,1.23914,,1.057880,,150.725,,12.18270,,12.99340,,1.381270,
2020-01-04,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-05,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-06,1.79630,,1.34217,,9.66081,,9.24616,,1.23724,,1.052810,,149.646,,12.18540,,.,No value available,1.384970,
2020-01-07,1.80086,,1.34342,,9.61455,,9.25986,,1.23910,,1.052920,,150.116,,12.21110,,13.02680,,1.384320,
2020-01-08,1.79957,,1.34305,,9.58690,,9.28850,,1.24294,,1.053950,,148.956,,12.24390,,13.04120,,1.381520,
2020-01-09,1.80408,,1.34344,,9.55694,,9.27833,,1.24156,,1.059710,,150.655,,12.24980,,13.04040,,1.379370,
2020-01-10,1.80023,,1.34552,,9.56224,,9.29428,,1.24369,,1.055100,,151.097,,12.28090,,13.10510,,1.379380,
2020-01-11,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-12,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-13,1.80066,,1.34125,,9.52163,,9.26947,,1.24036,,1.064260,,.,No value available,12.27390,,13.11990,,1.380030,
2020-01-14,1.80337,,1.33575,,9.50299,,9.28247,,1.24212,,1.062180,,151.979,,12.28710,,13.07930,,1.380620,
2020-01-15,1.80280,,1.33380,,9.51339,,9.26518,,1.23987,,1.061680,,151.864,,12.25230,,13.08920,,1.381460,
