"",BBEX3.D.CAD.XDR.DA.AC.000,BBEX3.D.CAD.XDR.DA.AC.000_FLAGS,BBEX3.D.CHF.XDR.DA.AC.000,BBEX3.D.CHF.XDR.DA.AC.000_FLAGS,BBEX3.D.CNY.XDR.DA.AC.000,BBEX3.D.CNY.XDR.DA.AC.000_FLAGS,BBEX3.D.DKK.XDR.DA.AC.000,BBEX3.D.DKK.XDR.DA.AC.000_FLAGS,BBEX3.D.EUR.XDR.DA.AC.000,BBEX3.D.EUR.XDR.DA.AC.000_FLAGS,BBEX3.D.GBP.XDR.DA.AC.000,BBEX3.D.GBP.XDR.DA.AC.000_FLAGS,BBEX3.D.JPY.XDR.DA.AC.000,BBEX3.D.JPY.XDR.DA.AC.000_FLAGS,BBEX3.D.NOK.XDR.DA.AC.000,BBEX3.D.NOK.XDR.DA.AC.000_FLAGS,BBEX3.D.SEK.XDR.DA.AC.000,BBEX3.D.SEK.XDR.DA.AC.000_FLAGS,BBEX3.D.USD.XDR.DA.AC.000,BBEX3.D.USD.XDR.DA.AC.000_FLAGS
2020-01-16,1.80328,,1.33086,,9.52127,,9.24907,,1.23767,,1.058380,,151.962,,12.26010,,13.07030,,1.382350,
2020-01-17,1.80336,,1.33443,,9.46835,,9.28807,,1.24290,,1.058920,,152.144,,12.29110,,13.10160,,1.380610,
2020-01-18,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-19,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-20,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-21,1.80286,,1.33486,,9.52798,,9.27558,,1.24130,,1.056430,,151.767,,12.33360,,13.15380,,1.379700,
2020-01-22,1.80879,,1.33991,,9.51819,,9.29437,,1.24375,,1.052770,,151.533,,12.38660,,13.14300,,1.379070,
2020-01-23,1.81321,,1.33614,,9.56160,,9.29593,,1.24389,,1.051210,,151.315,,12.39890,,13.11670,,1.379600,
2020-01-24,1.80944,,.,No value available,.,No value available,9.32549,,1.24789,,1.052110,,150.856,,12.40090,,13.12740,,1.377050,
2020-01-25,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-26,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-27,1.81416,,1.33392,,.,No value available,9.32818,,1.24829,,1.051930,,149.914,,12.52820,,13.18290,,1.376240,
2020-01-28,1.81234,,1.33502,,.,No value available,9.33794,,1.24959,,1.056690,,149.866,,12.59070,,13.25120,,1.375170,
2020-01-29,1.81449,,1.34072,,.,No value available,9.34029,,1.24991,,1.056500,,149.988,,12.56950,,13.22120,,1.375030,
2020-01-30,1.81854,,1.33525,,.,No value available,9.32279,,1.24754,,1.052440,,149.905,,12.69220,,13.27440,,1.375910,
2020-01-31,1.82212,,1.33378,,.,No value available,9.31064,,1.24588,,1.048990,,150.129,,12.69470,,13.30200,,1.376950,
2020-02-01,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-02-02,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-02-03,1.82812,,1.32857,,9.66912,,9.29964,,1.24446,,1.054820,,149.444,,12.76680,,13.26810,,1.377110,
2020-02-04,1.82751,,1.33306,,9.62547,,9.30960,,1.24579,,1.057630,,149.485,,12.70050,,13.25560,,1.376350,
2020-02-05,1.82780,,1.33636,,9.62946,,9.32436,,1.24777,,1.053070,,150.512,,12.62420,,13.16250,,1.375420,
2020-02-06,1.82546,,1.33867,,9.57387,,9.32827,,1.24835,,1.059600,,150.940,,12.64430,,13.17000,,1.373560,
2020-02-07,1.82397,,1.33902,,9.57552,,9.33890,,1.24979,,1.060200,,150.647,,12.70690,,13.22070,,1.370890,
2020-02-08,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-02-09,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-02-10,1.82611,,1.34062,,9.57341,,9.35541,,1.25199,,1.061030,,150.323,,12.66870,,13.23340,,1.371060,
2020-02-11,1.82072,,1.33944,,9.55411,,9.38914,,1.25657,,1.059710,,.,No value available,12.68540,,13.23790,,1.369780,
2020-02-12,1.81616,,1.33581,,9.55493,,9.38104,,1.25552,,1.055480,,150.524,,12.61100,,13.18190,,1.370270,
2020-02-13,1.81353,,1.33887,,9.55128,,9.40690,,1.25893,,1.053710,,150.325,,12.64160,,13.19240,,1.368080,
2020-02-14,1.81182,,1.34228,,9.54973,,9.42365,,1.26131,,1.049430,,150.221,,12.64570,,13.24120,,1.367510,
2020-02-15,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-02-16,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-02-17,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-02-18,1.81224,,1.34080,,9.57103,,9.44064,,1.26378,,1.048200,,150.018,,12.74940,,13.31720,,1.366900,
2020-02-19,1.80546,,1.34294,,9.54226,,9.43735,,1.26349,,1.050720,,150.171,,12.65730,,13.36470,,1.364570,
2020-02-20,1.80470,,1.33813,,9.54526,,9.42418,,1.26193,,1.057820,,151.412,,12.67670,,13.35860,,1.361620,
2020-02-21,1.80165,,1.33761,,9.58993,,9.42267,,1.26137,,1.052380,,152.658,,12.72380,,13.36290,,1.362410,
2020-02-22,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-02-23,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-02-24,1.81025,,1.33632,,9.58837,,9.41336,,1.26016,,1.056450,,.,No value available,12.76890,,13.33130,,1.363240,
2020-02-25,1.81350,,1.33517,,9.57781,,9.40982,,1.25967,,1.053170,,151.459,,12.79830,,13.27660,,1.365480,
2020-02-26,1.81923,,1.33295,,9.60034,,9.39196,,1.25712,,1.057160,,150.807,,12.83690,,13.28670,,1.367120,
2020-02-27,1.83001,,1.32960,,9.60523,,9.33498,,1.24924,,1.064350,,151.088,,12.85690,,13.25180,,1.369660,
2020-02-28,1.84418,,1.32679,,9.61381,,9.34824,,1.25105,,1.066050,,150.237,,12.99700,,13.28640,,1.373280,
2020-02-29,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-03-01,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-03-02,1.84173,,1.31938,,9.60071,,9.26535,,1.23984,,1.078650,,148.472,,12.89970,,13.12350,,1.378950,
2020-03-03,1.84185,,1.32022,,9.62010,,9.26518,,1.23983,,1.078030,,149.300,,12.81090,,13.10410,,1.378320,
2020-03-04,1.84992,,.,No value available,9.57717,,9.27859,,1.24168,,1.079490,,148.289,,12.79560,,.,No value available,1.381360,
2020-03-05,1.85653,,1.31846,,9.60347,,9.24249,,1.23708,,1.070980,,148.509,,12.82980,,13.11780,,1.383920,
2020-03-06,1.86882,,1.30195,,9.67651,,9.17549,,1.22835,,1.070220,,147.935,,12.89560,,13.10780,,1.392460,
2020-03-07,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-03-08,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-03-09,1.90339,,1.29583,,9.71147,,9.12667,,1.22185,,1.068430,,142.915,,13.30590,,13.15000,,1.399760,
2020-03-10,1.91370,,1.29929,,9.67820,,9.14219,,1.22362,,1.069120,,143.900,,13.26810,,13.14910,,1.393710,
2020-03-11,1.91276,,1.30192,,9.67783,,9.17330,,1.22760,,1.077100,,146.119,,13.32660,,13.19300,,1.391610,
2020-03-12,1.91579,,1.30224,,9.67595,,9.21617,,1.23331,,1.088790,,144.169,,14.02060,,13.25720,,1.386250,
2020-03-13,1.91577,,1.30732,,9.62779,,9.27523,,1.24114,,1.101030,,144.817,,13.77230,,13.43920,,1.378160,
2020-03-14,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-03-15,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-03-16,1.92513,,1.30061,,9.65764,,9.23421,,1.23567,,1.118390,,147.376,,14.18120,,13.28510,,1.378640,
2020-03-17,1.93978,,1.31111,,9.58405,,9.31229,,1.24609,,1.129690,,145.850,,14.33780,,13.42310,,1.368450,
2020-03-18,1.97834,,1.31132,,9.58231,,9.32775,,1.24817,,1.144630,,146.506,,14.60490,,13.58500,,1.364750,
2020-03-19,1.95361,,1.32070,,9.54690,,9.32523,,1.24783,,1.167820,,146.707,,15.36890,,13.92060,,1.347790,
2020-03-20,1.93324,,1.32664,,9.51665,,9.40982,,1.25983,,1.147460,,.,No value available,15.27100,,13.81830,,1.348900,
2020-03-21,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-03-22,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-03-23,1.94910,,1.32959,,9.57057,,9.32436,,1.24815,,1.167180,,148.289,,15.29830,,14.04710,,1.345880,
2020-03-24,1.96298,,1.32021,,9.59030,,9.32845,,1.24931,,1.153850,,149.618,,14.95980,,13.78760,,1.354620,
2020-03-25,1.93454,,1.32599,,9.59831,,9.33019,,1.24932,,1.138200,,150.319,,14.71010,,13.60080,,1.352640,
2020-03-26,1.91576,,1.32063,,9.66128,,9.25275,,1.23933,,1.136840,,150.707,,14.28620,,13.70940,,1.360910,
2020-03-27,1.91961,,1.31420,,9.68636,,9.28203,,1.24413,,1.117810,,148.040,,14.50140,,13.59840,,1.365690,
2020-03-28,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-03-29,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-03-30,1.94018,,1.31026,,9.71968,,9.27463,,1.24213,,1.104100,,147.405,,14.51900,,13.63910,,1.370570,
2020-03-31,1.93624,,1.31758,,9.68007,,9.30215,,1.24571,,1.104160,,148.354,,14.33820,,13.75320,,1.364800,
2020-04-01,1.94191,,1.31865,,9.70356,,9.32271,,1.24900,,1.103320,,146.945,,14.07430,,13.60960,,1.365910,
2020-04-02,1.93633,,1.32023,,9.69058,,9.34903,,1.25219,,1.097290,,146.778,,14.06770,,13.65610,,1.365630,
2020-04-03,1.92101,,1.32625,,9.63614,,9.40716,,1.25950,,1.107110,,146.840,,14.18550,,13.79070,,1.358370,
2020-04-04,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-04-05,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-04-06,1.91875,,1.32847,,.,No value available,9.39708,,1.25866,,1.103340,,147.978,,14.33300,,13.75090,,1.358220,
2020-04-07,1.90476,,1.32527,,9.61123,,9.34317,,1.25117,,1.108090,,148.257,,13.88120,,13.64200,,1.361900,
2020-04-08,1.91170,,1.32303,,9.62223,,9.35279,,1.25305,,1.103170,,148.288,,14.02660,,13.75380,,1.362190,
2020-04-09,1.90559,,1.32397,,9.61723,,.,No value available,1.25389,,1.095560,,148.469,,.,No value available,13.67760,,1.362600,
2020-04-10,.,No value available,.,No value available,9.62242,,.,No value available,1.25821,,.,No value available,148.488,,.,No value available,.,No value available,1.367290,
2020-04-11,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-04-12,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-04-13,1.90378,,.,No value available,9.62751,,.,No value available,.,No value available,.,No value available,147.893,,.,No value available,.,No value available,1.366090,
2020-04-14,1.90270,,1.31865,,9.64785,,9.31480,,1.24825,,1.090530,,147.314,,14.12000,,13.62520,,1.368460,
2020-04-15,1.92501,,1.32001,,9.65232,,9.35515,,1.25342,,1.092980,,146.460,,14.35210,,13.65570,,1.366610,
2020-04-16,1.92744,,1.31933,,9.65969,,.,No value available,1.25353,,1.092530,,146.980,,14.30850,,13.70740,,1.364850,
2020-04-17,1.91271,,1.32236,,9.64283,,.,No value available,1.25472,,1.094870,,147.068,,14.15890,,13.66180,,1.362620,
2020-04-18,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-04-19,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-04-20,1.92114,,1.32063,,9.64562,,9.36672,,1.25586,,1.094200,,147.106,,14.15320,,13.64980,,1.363860,
2020-04-21,1.93372,,1.32159,,9.65046,,9.37005,,1.25633,,1.103530,,146.768,,14.42810,,13.67640,,1.361490,
2020-04-22,.,No value available,1.31954,,9.65167,,9.35602,,1.25434,,1.102380,,146.996,,14.64760,,13.74530,,1.363100,
2020-04-23,.,No value available,1.32642,,9.62103,,9.41176,,1.26203,,1.100910,,146.550,,14.53410,,13.76450,,1.359460,
2020-04-24,1.91582,,1.32625,,9.63011,,.,No value available,1.25898,,1.100440,,146.440,,14.45120,,13.72660,,1.359700,
2020-04-25,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-04-26,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-04-27,1.91657,,1.32713,,9.65745,,9.37418,,1.25674,,1.095610,,146.719,,14.39130,,13.63990,,1.363820,
2020-04-28,1.90925,,1.32895,,9.68007,,9.36426,,1.25576,,1.093330,,146.533,,14.16280,,13.64660,,1.365890,
2020-04-29,1.89886,,1.32921,,9.65083,,9.38113,,1.25800,,1.100470,,.,No value available,14.18120,,13.43330,,1.363930,
2020-04-30,1.90066,,1.32602,,9.63902,,9.37040,,1.25635,,1.092250,,145.631,,14.05100,,13.45400,,1.366400,
2020-05-01,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,1.090930,,146.650,,.,No value available,.,No value available,1.369280,
2020-05-02,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-05-03,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-05-04,1.92422,,1.31792,,.,No value available,9.31689,,1.24854,,1.101160,,.,No value available,14.14350,,13.53200,,1.366150,
2020-05-05,1.91240,,1.32329,,.,No value available,9.37814,,1.25693,,1.094690,,.,No value available,14.04360,,13.40760,,1.362880,
2020-05-06,1.92310,,1.32605,,9.65568,,9.40124,,1.25991,,1.100360,,.,No value available,13.97250,,13.36140,,1.361590,
2020-05-07,1.90751,,1.32798,,9.64972,,9.41682,,1.26222,,1.100370,,144.625,,13.93550,,13.36020,,1.361050,
2020-05-08,1.90022,,1.32384,,9.65232,,.,No value available,1.25770,,.,No value available,145.100,,13.92210,,13.34900,,1.363730,
2020-05-09,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-05-10,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-05-11,1.90679,,1.32313,,9.63874,,9.37822,,1.25723,,1.104880,,145.527,,13.88740,,13.30870,,1.360830,
2020-05-12,1.90855,,1.32168,,9.65605,,9.35331,,1.25418,,1.102710,,146.406,,13.86100,,13.41620,,1.361790,
2020-05-13,1.91776,,1.32027,,9.66791,,9.34239,,1.25307,,1.108400,,146.111,,13.70610,,13.33560,,1.362720,
2020-05-14,1.91444,,1.32381,,9.64357,,9.38879,,1.25901,,1.114170,,145.207,,13.92440,,13.36790,,1.358730,
2020-05-15,1.91593,,1.32221,,9.64934,,9.38861,,1.25893,,1.114390,,146.026,,13.91980,,13.33480,,1.359390,
2020-05-16,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-05-17,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-05-18,.,No value available,1.32041,,9.66361,,9.34763,,1.25391,,1.120190,,145.481,,13.75080,,13.33580,,1.358240,
2020-05-19,1.89705,,1.32567,,9.70723,,9.29791,,1.24700,,1.114760,,146.651,,13.61140,,13.20370,,1.365470,
2020-05-20,1.89658,,1.31915,,9.70525,,9.28988,,1.24588,,1.112700,,147.418,,13.55070,,13.20220,,1.365230,
2020-05-21,1.90336,,.,No value available,9.69678,,.,No value available,1.24171,,1.116920,,147.147,,.,No value available,.,No value available,1.365890,
2020-05-22,1.90866,,1.32367,,9.71676,,.,No value available,1.24896,,1.117610,,146.728,,13.62340,,13.18030,,1.361870,
2020-05-23,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-05-24,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-05-25,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-05-26,1.88399,,1.32107,,9.73937,,9.27171,,1.24357,,1.108890,,147.059,,13.54790,,13.16180,,1.364820,
2020-05-27,1.88368,,1.32473,,9.78732,,9.27592,,1.24371,,1.108110,,146.976,,13.46730,,13.16990,,1.366970,
2020-05-28,1.87956,,.,No value available,9.77240,,9.24061,,1.23962,,1.115840,,147.303,,13.45640,,13.11730,,1.365560,
2020-05-29,1.89160,,1.31940,,9.80488,,9.18400,,1.23206,,1.113290,,146.998,,13.29140,,12.99060,,1.372020,
2020-05-30,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-05-31,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-06-01,1.86901,,.,No value available,9.75791,,.,No value available,1.23358,,1.107540,,147.752,,.,No value available,12.86080,,1.371250,
2020-06-02,1.85947,,1.32337,,9.79307,,9.17819,,1.23130,,1.095430,,147.987,,13.15000,,12.89370,,1.375850,
2020-06-03,1.85859,,1.32589,,9.78263,,9.16565,,1.22953,,1.093500,,149.538,,13.12850,,12.75620,,1.376330,
2020-06-04,1.85807,,1.32065,,9.79403,,9.11610,,1.22270,,1.097440,,149.933,,12.96650,,12.83910,,1.375530,
2020-06-05,1.85540,,1.32326,,9.79633,,.,No value available,1.21945,,1.093460,,150.778,,12.85340,,12.64370,,1.381640,
2020-06-06,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-06-07,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-06-08,1.84642,,1.32876,,9.76267,,9.11494,,1.22257,,1.091730,,151.019,,12.78850,,12.68760,,1.379670,
2020-06-09,1.85389,,1.31767,,9.78148,,9.11876,,1.22289,,1.092280,,149.300,,12.89150,,12.77520,,1.381130,
2020-06-10,1.85694,,1.31199,,9.80527,,9.08926,,1.21917,,1.085950,,149.082,,12.84800,,12.73130,,1.386810,
2020-06-11,1.87921,,1.30677,,9.80758,,9.10888,,1.22186,,1.093120,,148.223,,13.09830,,12.78470,,1.386560,
2020-06-12,1.87972,,1.30907,,9.78474,,9.11810,,1.22307,,1.095660,,147.726,,13.26720,,12.85010,,1.382550,
2020-06-13,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-06-14,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-06-15,1.87647,,1.31197,,9.78646,,9.13918,,1.22576,,1.102470,,147.894,,13.34780,,12.95690,,1.379350,
2020-06-16,1.87598,,1.31041,,9.80056,,9.12350,,1.22362,,1.093860,,148.482,,13.14030,,12.83810,,1.383670,
2020-06-17,1.87040,,1.31059,,9.78186,,9.15977,,1.22851,,1.097830,,148.114,,13.15120,,12.88000,,1.379860,
2020-06-18,1.87582,,1.30944,,9.76992,,9.17095,,1.23008,,1.102770,,147.426,,13.17200,,12.88890,,1.380390,
2020-06-19,1.87148,,1.30950,,9.74963,,9.16070,,1.22873,,1.112420,,147.272,,13.16400,,.,No value available,1.377400,
2020-06-20,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-06-21,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-06-22,.,No value available,1.30893,,9.75068,,9.16011,,1.22884,,1.112640,,147.256,,13.26960,,12.98320,,1.377900,
2020-06-23,1.86724,,.,No value available,9.76143,,9.09819,,1.22063,,1.109550,,148.028,,.,No value available,12.88500,,1.381510,
2020-06-24,1.87999,,1.30649,,9.78426,,9.13960,,1.22630,,1.104760,,147.387,,13.23880,,12.85840,,1.383260,
2020-06-25,1.87954,,1.30810,,.,No value available,9.16666,,1.22987,,1.107010,,147.525,,13.37450,,12.88930,,1.377450,
2020-06-26,1.88502,,1.30591,,.,No value available,9.16061,,1.22924,,1.110400,,147.634,,13.38030,,.,No value available,1.378340,
2020-06-27,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-06-28,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-06-29,.,No value available,1.30292,,9.76601,,9.11336,,1.22277,,1.120080,,147.939,,13.32970,,12.84620,,1.379770,
2020-06-30,1.87480,,1.30760,,9.72356,,9.15566,,1.22852,,1.121140,,148.190,,13.40560,,12.86140,,1.375700,
2020-07-01,.,No value available,1.30457,,9.72630,,9.16347,,1.22953,,1.110050,,148.297,,13.24650,,12.82940,,1.377070,
2020-07-02,1.87596,,1.30293,,9.75277,,9.11552,,1.22347,,1.104070,,148.409,,13.07560,,12.79910,,1.380810,
2020-07-03,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-07-04,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-07-05,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
