Date,"Forward exchange rate, 1 month, US$ into Sterling                          XUDLDS1","Forward exchange rate, 3 month, US$ into Sterling                          XUDLDS3","Forward exchange rate, 6 month, US$ into Sterling                          XUDLDS6","Forward exchange rate, 12 month, US$ into Sterling                          XUDLDSY"
26-Jun-79,2.1443,2.1338,2.1204,2.097
27-Jun-79,2.1477,2.137,2.1219,2.0995
28-Jun-79,2.1616,2.1496,2.1356,2.1138
29-Jun-79,2.1647,2.1526,2.1398,2.119
2-Jul-79,2.1826,2.1735,2.1611,2.1409
3-Jul-79,2.193,2.1843,2.1727,2.154
4-Jul-79,2.215,2.2043,2.1938,2.1765
5-Jul-79,2.2267,2.2175,2.2082,2.1915
6-Jul-79,2.2119,2.2016,2.1916,2.1748
9-Jul-79,2.1962,2.1866,2.1771,2.1602
10-Jul-79,2.2151,2.2056,2.1946,2.177
11-Jul-79,2.2333,2.2221,2.2082,2.1907
12-Jul-79,2.2237,2.2129,2.2024,2.1838
13-Jul-79,2.2187,2.2061,2.1952,2.1756
16-Jul-79,2.2341,2.223,2.2132,2.1938
17-Jul-79,2.2664,2.2568,2.2456,2.2268
18-Jul-79,2.2732,2.2622,2.2523,2.234
19-Jul-79,2.2946,2.285,2.2761,2.2575
20-Jul-79,2.2692,2.2584,2.2496,2.2338
23-Jul-79,2.296,2.287,2.2792,2.2638
24-Jul-79,2.317,2.3091,2.2995,2.2845
25-Jul-79,2.3123,2.3028,2.2937,2.2794
26-Jul-79,2.3226,2.3124,2.302,2.2863
27-Jul-79,2.3097,2.2975,2.2869,2.2695
30-Jul-79,2.3104,2.299,2.2873,2.2682
31-Jul-79,2.2523,2.2407,2.2257,2.205
1-Aug-79,2.2657,2.2542,2.2409,2.2211
2-Aug-79,2.2614,2.2499,2.237,2.2167
3-Aug-79,2.2659,2.2535,2.2405,2.2199
6-Aug-79,2.2393,2.228,2.2146,2.1938
7-Aug-79,2.206,2.1954,2.1789,2.157
8-Aug-79,2.2084,2.1967,2.1825,2.1615
9-Aug-79,2.2304,2.2196,2.2065,2.1859
10-Aug-79,2.2445,2.2326,2.2204,2.1992
13-Aug-79,2.2289,2.2236,2.2071,2.1853
14-Aug-79,2.2273,2.2183,2.2049,2.1847
15-Aug-79,2.2251,2.2158,2.2052,2.1855
16-Aug-79,2.2214,2.2124,2.2014,2.1808
17-Aug-79,2.2127,2.2031,2.191,2.171
20-Aug-79,2.2183,2.2102,2.1983,2.1782
21-Aug-79,2.2078,2.2003,2.1887,2.1695
22-Aug-79,2.2123,2.2049,2.1944,2.1756
23-Aug-79,2.2228,2.2151,2.2054,2.1867
24-Aug-79,2.2305,2.2234,2.2162,2.1992
28-Aug-79,2.2482,2.2424,2.2353,2.2188
29-Aug-79,2.2504,2.2463,2.2393,2.223
30-Aug-79,2.2473,2.2416,2.2339,2.2164
31-Aug-79,2.2502,2.2438,2.2353,2.2175
3-Sep-79,2.2462,2.2376,2.2276,2.2094
4-Sep-79,2.2328,2.2265,2.2162,2.1977
5-Sep-79,2.2371,2.2332,2.225,2.207
6-Sep-79,2.2429,2.2374,2.2299,2.213
7-Sep-79,2.2467,2.2421,2.2362,2.2209
10-Sep-79,2.2443,2.2385,2.2322,2.2176
11-Sep-79,2.238,2.2337,2.2277,2.2118
12-Sep-79,2.2141,2.21,2.2021,2.1847
13-Sep-79,2.2035,2.198,2.1901,2.1744
14-Sep-79,2.1726,2.1665,2.1584,2.1415
17-Sep-79,2.1448,2.1378,2.1303,2.1145
18-Sep-79,2.1551,2.1502,2.1436,2.1285
19-Sep-79,2.1396,2.1352,2.1284,2.112
20-Sep-79,2.1613,2.1561,2.1483,2.132
21-Sep-79,2.1615,2.1559,2.1487,2.133
24-Sep-79,2.1526,2.1456,2.1382,2.123
25-Sep-79,2.1551,2.1497,2.142,2.1251
26-Sep-79,2.1752,2.1706,2.1632,2.1475
27-Sep-79,2.2,2.1954,2.1897,2.1737
28-Sep-79,2.2003,2.195,2.1898,2.1745
1-Oct-79,2.187,2.1825,2.1768,2.1619
2-Oct-79,2.1893,2.1861,2.1794,2.1642
3-Oct-79,2.1823,2.1794,2.1757,2.163
4-Oct-79,2.1885,2.1848,2.1834,2.1743
5-Oct-79,2.181,2.1772,2.1751,2.1678
8-Oct-79,2.1446,2.1446,2.1447,2.143
9-Oct-79,2.1518,2.1536,2.1534,2.15
10-Oct-79,2.1659,2.167,2.1674,2.1645
11-Oct-79,2.1661,2.1683,2.1687,2.1661
12-Oct-79,2.1658,2.1672,2.1692,2.1645
15-Oct-79,2.1588,2.1613,2.163,2.1583
16-Oct-79,2.1553,2.1584,2.1604,2.1559
17-Oct-79,2.1463,2.1478,2.1497,2.1463
18-Oct-79,2.1518,2.152,2.1535,2.1501
19-Oct-79,2.1559,2.1569,2.1594,2.1563
22-Oct-79,2.1523,2.1554,2.1585,2.1567
23-Oct-79,2.1155,2.121,2.126,2.122
24-Oct-79,2.113,2.1165,2.1204,2.1205
25-Oct-79,2.1144,2.1172,2.1179,2.1163
26-Oct-79,2.1059,2.1074,2.1081,2.1059
29-Oct-79,2.1013,2.1022,2.1031,2.1007
30-Oct-79,2.0697,2.0721,2.0712,2.0653
31-Oct-79,2.0807,2.0826,2.084,2.0778
1-Nov-79,2.0829,2.0849,2.085,2.0794
2-Nov-79,2.0694,2.0701,2.0701,2.065
5-Nov-79,2.0674,2.0679,2.0673,2.0615
6-Nov-79,2.0759,2.0788,2.0761,2.0691
7-Nov-79,2.0931,2.0951,2.0942,2.0849
8-Nov-79,2.0953,2.0965,2.0951,2.086
9-Nov-79,2.0928,2.0934,2.0908,2.081
12-Nov-79,2.1061,2.1041,2.098,2.0855
13-Nov-79,2.1032,2.1035,2.0963,2.0812
14-Nov-79,2.1031,2.1018,2.0978,2.0812
15-Nov-79,2.1375,2.1344,2.1276,2.1103
16-Nov-79,2.159,2.1557,2.1491,2.1295
19-Nov-79,2.1784,2.1742,2.1685,2.1505
20-Nov-79,2.1568,2.1526,2.1476,2.127
21-Nov-79,2.1716,2.167,2.1619,2.1419
22-Nov-79,2.1679,2.1626,2.1535,2.131
23-Nov-79,2.1542,2.1484,2.1382,2.1157
26-Nov-79,2.1548,2.1465,2.1344,2.1112
27-Nov-79,2.1551,2.1467,2.1342,2.1113
28-Nov-79,2.1608,2.1526,2.1417,2.119
29-Nov-79,2.1785,2.17,2.1596,2.1364
30-Nov-79,2.1939,2.1853,2.1763,2.1553
3-Dec-79,2.2075,2.2013,2.1923,2.1714
4-Dec-79,2.1945,2.1876,2.1782,2.1555
5-Dec-79,2.1698,2.1626,2.1496,2.1265
6-Dec-79,2.1847,2.1761,2.1645,2.1414
7-Dec-79,2.1717,2.1608,2.1483,2.1263
10-Dec-79,2.1645,2.1548,2.1424,2.1192
11-Dec-79,2.184,2.176,2.1645,2.14
12-Dec-79,2.1902,2.1836,2.1713,2.1503
13-Dec-79,2.2011,2.1951,2.1863,2.1684
14-Dec-79,2.1958,2.1872,2.1767,2.1555
17-Dec-79,2.1979,2.192,2.182,2.1627
18-Dec-79,2.1945,2.1884,2.1793,2.1567
19-Dec-79,2.1997,2.1945,2.1825,2.1615
20-Dec-79,2.197,2.1905,2.1805,2.1602
21-Dec-79,2.1932,2.1865,2.1784,2.1555
24-Dec-79,2.2028,2.1974,2.1864,2.1665
27-Dec-79,2.2356,2.2296,2.2205,2.2015
28-Dec-79,2.2241,2.2172,2.2073,2.1873
31-Dec-79,2.2206,2.2129,2.2034,2.1805
2-Jan-80,2.2263,2.2175,2.2057,2.1845
3-Jan-80,2.2391,2.2311,2.2205,2.1988
4-Jan-80,2.2338,2.225,2.2151,2.1945
7-Jan-80,2.257,2.25,2.2412,2.2218
8-Jan-80,2.2538,2.2461,2.2373,2.216
9-Jan-80,2.2621,2.256,2.2462,2.2245
10-Jan-80,2.2539,2.2469,2.2384,2.2191
11-Jan-80,2.2526,2.2443,2.2363,2.2172
14-Jan-80,2.2635,2.2567,2.2493,2.2308
15-Jan-80,2.2745,2.2677,2.2617,2.2465
16-Jan-80,2.2693,2.2631,2.2553,2.2408
17-Jan-80,2.2652,2.2571,2.2518,2.2358
18-Jan-80,2.2764,2.2668,2.2613,2.2465
21-Jan-80,2.2786,2.2694,2.2627,2.251
22-Jan-80,2.2678,2.2588,2.2531,2.2414
23-Jan-80,2.2703,2.2628,2.2565,2.2435
24-Jan-80,2.2753,2.2665,2.2607,2.25
25-Jan-80,2.2694,2.2595,2.2544,2.2436
28-Jan-80,2.2561,2.246,2.2407,2.23
29-Jan-80,2.2504,2.2391,2.2327,2.2215
30-Jan-80,2.2562,2.2471,2.2417,2.2285
31-Jan-80,2.2595,2.2486,2.24,2.2272
1-Feb-80,2.2699,2.2587,2.2481,2.2335
4-Feb-80,2.2714,2.2605,2.2511,2.2386
5-Feb-80,2.2828,2.2708,2.2611,2.2465
6-Feb-80,2.299,2.2895,2.2815,2.2655
7-Feb-80,2.2946,2.285,2.2755,2.2625
8-Feb-80,2.2904,2.2802,2.2698,2.2561
11-Feb-80,2.2972,2.2865,2.2761,2.262
12-Feb-80,2.2928,2.28,2.2699,2.2532
13-Feb-80,2.2963,2.2857,2.2768,2.2592
14-Feb-80,2.3068,2.2954,2.2853,2.2688
15-Feb-80,2.2944,2.2829,2.2735,2.2575
18-Feb-80,2.2897,2.2792,2.2712,2.2585
19-Feb-80,2.2681,2.2577,2.25,2.239
20-Feb-80,2.2732,2.2659,2.2593,2.247
21-Feb-80,2.2847,2.2763,2.2669,2.2563
22-Feb-80,2.2743,2.2682,2.2616,2.2542
25-Feb-80,2.2726,2.2661,2.2588,2.249
26-Feb-80,2.2757,2.2673,2.2603,2.2499
27-Feb-80,2.2805,2.2767,2.2698,2.2597
28-Feb-80,2.2815,2.2759,2.2693,2.2592
29-Feb-80,2.2701,2.265,2.258,2.2483
3-Mar-80,2.2479,2.2426,2.2369,2.2254
4-Mar-80,2.2205,2.2166,2.2101,2.2012
5-Mar-80,2.2384,2.234,2.23,2.221
6-Mar-80,2.2262,2.2258,2.2253,2.2205
7-Mar-80,2.2235,2.2235,2.2215,2.218
10-Mar-80,2.2192,2.221,2.2223,2.2175
11-Mar-80,2.2258,2.2285,2.2275,2.2238
12-Mar-80,2.2339,2.2353,2.2353,2.2297
13-Mar-80,2.2222,2.2248,2.2264,2.2227
14-Mar-80,2.2081,2.2172,2.2033,2.206
17-Mar-80,2.1897,2.195,2.1999,2.196
18-Mar-80,2.197,2.2036,2.2041,2.2018
19-Mar-80,2.1905,2.1952,2.1974,2.1935
20-Mar-80,2.1973,2.2008,2.2025,2.1986
21-Mar-80,2.1837,2.1867,2.1905,2.1873
24-Mar-80,2.1816,2.1865,2.1914,2.1868
25-Mar-80,2.1933,2.1996,2.2013,2.1989
26-Mar-80,2.2002,2.2047,2.208,2.2048
27-Mar-80,2.1779,2.1833,2.1871,2.1839
28-Mar-80,2.1757,2.1804,2.1849,2.182
31-Mar-80,2.1686,2.1716,2.1777,2.1742
1-Apr-80,2.1421,2.1488,2.1533,2.1488
2-Apr-80,2.1591,2.1641,2.1684,2.164
3-Apr-80,2.1436,2.1465,2.1511,2.1467
8-Apr-80,2.1603,2.1645,2.1706,2.166
9-Apr-80,2.1765,2.1816,2.1837,2.1795
10-Apr-80,2.1868,2.191,2.1959,2.1901
11-Apr-80,2.1986,2.2031,2.2073,2.2015
14-Apr-80,2.2248,2.2271,2.2312,2.2264
15-Apr-80,2.1928,2.1965,2.201,2.1945
16-Apr-80,2.2146,2.2198,2.2193,2.215
17-Apr-80,2.2301,2.2307,2.2301,2.2215
18-Apr-80,2.2299,2.23,2.23,2.2215
21-Apr-80,2.2348,2.2306,2.2293,2.2213
22-Apr-80,2.2371,2.2367,2.2363,2.228
23-Apr-80,2.255,2.2541,2.2462,2.236
24-Apr-80,2.2654,2.2623,2.2566,2.247
25-Apr-80,2.2766,2.2738,2.2691,2.2605
28-Apr-80,2.2844,2.278,2.268,2.2553
29-Apr-80,2.2676,2.2617,2.2504,2.234
30-Apr-80,2.2473,2.2396,2.2305,2.2143
1-May-80,2.2564,2.2475,2.2385,2.224
2-May-80,2.2553,2.2477,2.2408,2.2252
6-May-80,2.2745,2.2623,2.247,2.2288
7-May-80,2.268,2.251,2.2395,2.2225
8-May-80,2.2714,2.2538,2.2401,2.2218
9-May-80,2.2583,2.239,2.2275,2.2085
12-May-80,2.2667,2.2476,2.2325,2.2124
13-May-80,2.2665,2.2483,2.2298,2.2101
14-May-80,2.273,2.2514,2.2343,2.2134
15-May-80,2.2883,2.2662,2.2477,2.228
16-May-80,2.273,2.251,2.2333,2.2148
19-May-80,2.2711,2.2521,2.2363,2.2155
20-May-80,2.2772,2.258,2.2362,2.2158
21-May-80,2.3101,2.288,2.2619,2.2378
22-May-80,2.3123,2.2869,2.2567,2.2275
23-May-80,2.3268,2.3005,2.2685,2.2333
27-May-80,2.3513,2.3268,2.2945,2.2605
28-May-80,2.3394,2.3162,2.2865,2.2548
29-May-80,2.3339,2.3093,2.2819,2.2537
30-May-80,2.3315,2.3065,2.2785,2.2488
2-Jun-80,2.3244,2.3021,2.2748,2.2453
3-Jun-80,2.286,2.2662,2.2428,2.214
4-Jun-80,2.3055,2.2811,2.2558,2.2258
5-Jun-80,2.3157,2.2912,2.2654,2.2375
6-Jun-80,2.3157,2.2914,2.2665,2.2376
9-Jun-80,2.3351,2.3094,2.287,2.2575
10-Jun-80,2.3157,2.2921,2.2697,2.239
11-Jun-80,2.3162,2.2893,2.2665,2.2356
12-Jun-80,2.3215,2.2943,2.2698,2.2375
13-Jun-80,2.3259,2.2967,2.27,2.2345
16-Jun-80,2.3302,2.3022,2.2783,2.2438
17-Jun-80,2.3139,2.288,2.2665,2.234
18-Jun-80,2.3145,2.2873,2.2665,2.2355
19-Jun-80,2.3138,2.2877,2.2661,2.236
20-Jun-80,2.3212,2.2942,2.2727,2.2415
23-Jun-80,2.3228,2.2947,2.2708,2.2401
24-Jun-80,2.319,2.2943,2.2697,2.2415
25-Jun-80,2.3173,2.2908,2.2682,2.2355
26-Jun-80,2.3257,2.3003,2.2795,2.247
27-Jun-80,2.3337,2.3077,2.2878,2.2565
30-Jun-80,2.3393,2.3156,2.2958,2.2655
1-Jul-80,2.341,2.3176,2.2945,2.269
2-Jul-80,2.3447,2.3198,2.2989,2.2721
3-Jul-80,2.3306,2.3076,2.2867,2.2605
4-Jul-80,2.34,2.3158,2.2961,2.272
7-Jul-80,2.3565,2.3347,2.3164,2.2915
8-Jul-80,2.3602,2.3397,2.3188,2.296
9-Jul-80,2.3584,2.3348,2.3163,2.2929
10-Jul-80,2.3593,2.3364,2.3185,2.2952
11-Jul-80,2.3636,2.3406,2.3228,2.299
14-Jul-80,2.3589,2.3385,2.3228,2.3005
15-Jul-80,2.3588,2.3389,2.3217,2.3025
16-Jul-80,2.3572,2.3355,2.32,2.3003
17-Jul-80,2.3637,2.3417,2.3253,2.305
18-Jul-80,2.3589,2.3354,2.3184,2.2976
21-Jul-80,2.3617,2.3413,2.3248,2.304
22-Jul-80,2.367,2.3469,2.3275,2.3092
23-Jul-80,2.3674,2.346,2.3291,2.3091
24-Jul-80,2.3831,2.3618,2.3452,2.3252
25-Jul-80,2.3786,2.3555,2.3394,2.3199
28-Jul-80,2.3728,2.3502,2.3352,2.3145
29-Jul-80,2.3601,2.3388,2.3235,2.3043
30-Jul-80,2.3425,2.3229,2.3088,2.2903
31-Jul-80,2.3287,2.3084,2.2943,2.2763
1-Aug-80,2.32,2.2995,2.2853,2.2675
4-Aug-80,2.3266,2.3075,2.293,2.274
5-Aug-80,2.3403,2.3205,2.3018,2.285
6-Aug-80,2.3569,2.3334,2.3115,2.2908
7-Aug-80,2.3533,2.331,2.3101,2.2892
8-Aug-80,2.3596,2.3359,2.315,2.293
11-Aug-80,2.3569,2.3353,2.3163,2.2948
12-Aug-80,2.3584,2.338,2.3158,2.2965
13-Aug-80,2.364,2.3419,2.321,2.3005
14-Aug-80,2.3616,2.341,2.3213,2.3002
15-Aug-80,2.364,2.342,2.3225,2.3007
18-Aug-80,2.3543,2.3354,2.3187,2.2977
19-Aug-80,2.3469,2.3301,2.3121,2.2938
20-Aug-80,2.3519,2.3337,2.3177,2.2975
21-Aug-80,2.3566,2.3375,2.3193,2.3
22-Aug-80,2.3535,2.3373,2.3208,2.3008
26-Aug-80,2.3645,2.3488,2.3338,2.3148
27-Aug-80,2.3783,2.364,2.3481,2.331
28-Aug-80,2.3785,2.3627,2.3478,2.3303
29-Aug-80,2.3831,2.3691,2.3542,2.3375
1-Sep-80,2.4,2.3833,2.3674,2.349
2-Sep-80,2.4045,2.389,2.3726,2.3557
3-Sep-80,2.4022,2.388,2.3715,2.3535
4-Sep-80,2.4084,2.3922,2.3769,2.3593
5-Sep-80,2.404,2.3883,2.3737,2.3586
8-Sep-80,2.4093,2.3924,2.3789,2.3639
9-Sep-80,2.3895,2.3771,2.3661,2.3543
10-Sep-80,2.3888,2.3774,2.3681,2.3599
11-Sep-80,2.4022,2.3887,2.3792,2.3689
12-Sep-80,2.4026,2.3907,2.3824,2.3746
15-Sep-80,2.3831,2.3719,2.3656,2.3602
16-Sep-80,2.378,2.3683,2.362,2.3569
17-Sep-80,2.3781,2.3695,2.3636,2.3579
18-Sep-80,2.3748,2.3649,2.3607,2.3569
19-Sep-80,2.376,2.3663,2.3624,2.359
22-Sep-80,2.3932,2.3818,2.376,2.371
23-Sep-80,2.3917,2.3822,2.3775,2.3715
24-Sep-80,2.3908,2.3808,2.376,2.3702
25-Sep-80,2.3897,2.3805,2.3758,2.3701
26-Sep-80,2.3881,2.3792,2.3772,2.3745
29-Sep-80,2.3833,2.3793,2.3785,2.378
30-Sep-80,2.3826,2.3781,2.3773,2.3773
1-Oct-80,2.3821,2.3764,2.3775,2.3756
2-Oct-80,2.3798,2.375,2.374,2.3734
3-Oct-80,2.3851,2.3784,2.3765,2.3765
6-Oct-80,2.3894,2.3818,2.3779,2.3777
7-Oct-80,2.3835,2.3775,2.3737,2.3725
8-Oct-80,2.384,2.3763,2.375,2.3722
9-Oct-80,2.3933,2.3852,2.3819,2.3794
10-Oct-80,2.3994,2.3888,2.382,2.3759
13-Oct-80,2.4041,2.3957,2.3892,2.3837
14-Oct-80,2.4006,2.3939,2.3871,2.3816
15-Oct-80,2.4002,2.3921,2.387,2.3827
16-Oct-80,2.4077,2.3994,2.3936,2.3878
17-Oct-80,2.4112,2.4018,2.397,2.3912
20-Oct-80,2.4157,2.4087,2.4048,2.3995
21-Oct-80,2.4314,2.425,2.419,2.4152
22-Oct-80,2.4261,2.4184,2.4165,2.4107
23-Oct-80,2.4387,2.4303,2.4264,2.4218
24-Oct-80,2.4435,2.4353,2.4319,2.4275
27-Oct-80,2.4332,2.4259,2.4238,2.4225
28-Oct-80,2.4269,2.4222,2.4196,2.4175
29-Oct-80,2.4377,2.4334,2.4283,2.426
30-Oct-80,2.4323,2.4286,2.4262,2.4235
31-Oct-80,2.4336,2.428,2.424,2.4223
3-Nov-80,2.4408,2.4357,2.4327,2.4305
4-Nov-80,2.4514,2.4503,2.448,2.4459
5-Nov-80,2.4431,2.441,2.4405,2.4385
6-Nov-80,2.4419,2.4422,2.4421,2.4408
7-Nov-80,2.4159,2.4137,2.413,2.4118
10-Nov-80,2.3928,2.3929,2.3909,2.3883
11-Nov-80,2.3923,2.3917,2.3883,2.3867
12-Nov-80,2.3939,2.3916,2.391,2.3898
13-Nov-80,2.4184,2.4165,2.4155,2.415
14-Nov-80,2.4015,2.4003,2.4002,2.3985
17-Nov-80,2.3961,2.3971,2.399,2.4
18-Nov-80,2.3971,2.4018,2.4031,2.4032
19-Nov-80,2.3783,2.383,2.387,2.387
20-Nov-80,2.3896,2.3952,2.4003,2.4007
21-Nov-80,2.3654,2.3736,2.381,2.383
24-Nov-80,2.3527,2.3632,2.376,2.376
25-Nov-80,2.3568,2.3675,2.3745,2.3747
26-Nov-80,2.3751,2.353,2.3935,2.3952
27-Nov-80,2.3725,2.382,2.39,2.3328
28-Nov-80,2.3688,2.3795,2.3889,2.3268
1-Dec-80,2.3602,2.373,2.383,2.3867
2-Dec-80,2.3555,2.3674,2.3765,2.3785
3-Dec-80,2.353,2.3647,2.3751,2.376
4-Dec-80,2.356,2.3679,2.3749,2.375
5-Dec-80,2.3529,2.3643,2.3742,2.3755
8-Dec-80,2.3535,2.3678,2.3772,2.3782
9-Dec-80,2.354,2.372,2.382,2.3845
10-Dec-80,2.3442,2.3755,2.3879,2.3894
11-Dec-80,2.3339,2.3585,2.372,2.3727
12-Dec-80,2.3425,2.3645,2.3765,2.3777
15-Dec-80,2.3504,2.3693,2.3805,2.3817
16-Dec-80,2.3351,2.3585,2.3705,2.3715
17-Dec-80,2.334,2.3565,2.367,2.3672
18-Dec-80,2.3403,2.362,2.3707,2.371
19-Dec-80,2.343,2.359,2.3625,2.363
22-Dec-80,2.3656,2.3787,2.3842,2.386
