Date,"Forward exchange rate, 1 month, US$ into Sterling                          XUDLDS1","Forward exchange rate, 3 month, US$ into Sterling                          XUDLDS3","Forward exchange rate, 6 month, US$ into Sterling                          XUDLDS6","Forward exchange rate, 12 month, US$ into Sterling                          XUDLDSY"
2-Jan-79,2.041,2.0392,2.0361,2.0264
3-Jan-79,2.0131,2.0109,2.0078,2.0028
4-Jan-79,2.0122,2.0103,2.0067,1.9965
5-Jan-79,2.0171,2.013,2.0089,1.9957
8-Jan-79,2.0223,2.018,2.0372,1.9998
9-Jan-79,2.0217,2.0175,2.0123,2.0002
10-Jan-79,2.0018,1.9972,1.9909,1.9769
11-Jan-79,1.9992,1.9935,1.9861,1.9719
12-Jan-79,1.9893,1.9819,1.9745,1.9595
15-Jan-79,1.9904,1.9849,1.9783,1.9665
16-Jan-79,1.9967,1.9914,1.9861,1.9752
17-Jan-79,2.0023,1.9964,1.9908,1.9786
18-Jan-79,2.0047,1.9981,1.9902,1.9752
19-Jan-79,2.0004,1.9927,1.9847,1.9704
22-Jan-79,1.9939,1.9864,1.9763,1.9595
23-Jan-79,1.9915,1.9836,1.9726,1.9571
24-Jan-79,1.9935,1.9852,1.9751,1.958
25-Jan-79,1.9874,1.9788,1.9688,1.9496
26-Jan-79,1.9898,1.9817,1.9717,1.9533
29-Jan-79,1.9907,1.9823,1.9723,1.9526
30-Jan-79,1.9919,1.9831,1.973,1.954
31-Jan-79,1.9874,1.9773,1.9661,1.9453
1-Feb-79,1.9753,1.9652,1.9536,1.9331
2-Feb-79,1.9744,1.9631,1.9498,1.9284
5-Feb-79,1.9832,1.9718,1.9579,1.9361
6-Feb-79,1.9889,1.9781,1.964,1.9432
7-Feb-79,2.0068,1.9949,1.9811,1.9581
8-Feb-79,1.9961,1.9853,1.9716,1.9495
9-Feb-79,1.9968,1.9859,1.9725,1.9494
12-Feb-79,1.9977,1.9871,1.9738,1.9509
13-Feb-79,1.9923,1.9835,1.9715,1.95
14-Feb-79,1.9994,1.9903,1.9791,1.9563
15-Feb-79,1.9991,1.9905,1.9806,1.9577
16-Feb-79,1.9988,1.9904,1.9799,1.9574
19-Feb-79,1.9978,1.9901,1.98,1.9584
20-Feb-79,2.0005,1.9939,1.9854,1.9661
21-Feb-79,2.0035,1.9958,1.9875,1.9682
22-Feb-79,2.005,1.9984,1.9905,1.9714
23-Feb-79,2.0064,2.0008,1.9941,1.977
26-Feb-79,2.0179,2.0122,2.0076,1.9927
27-Feb-79,2.0171,2.0132,2.0069,1.9911
28-Feb-79,2.0173,2.0136,2.01,1.9962
1-Mar-79,2.0188,2.0146,2.0102,1.9958
2-Mar-79,2.0183,2.0126,2.0069,1.9913
5-Mar-79,2.0173,2.0121,2.0068,1.9907
6-Mar-79,2.0207,2.0167,2.0108,1.9952
7-Mar-79,2.0282,2.0238,2.02,2.0054
8-Mar-79,2.0407,2.0369,2.0337,2.022
9-Mar-79,2.0332,2.0301,2.0278,2.0184
12-Mar-79,2.0423,2.0393,2.0374,2.0287
13-Mar-79,2.0388,2.0373,2.0341,2.026
14-Mar-79,2.0351,2.0325,2.0301,2.0213
15-Mar-79,2.0337,2.0301,2.0255,2.0143
16-Mar-79,2.0324,2.0276,2.0224,2.0114
19-Mar-79,2.0196,2.0153,2.01,1.9975
20-Mar-79,2.0287,2.0254,2.0204,2.0086
21-Mar-79,2.0255,2.0214,2.0176,2.0067
22-Mar-79,2.0306,2.0262,2.0209,2.009
23-Mar-79,2.0329,2.0275,2.0224,2.0094
26-Mar-79,2.0473,2.0435,2.0401,2.027
27-Mar-79,2.0503,2.047,2.0435,2.0317
28-Mar-79,2.045,2.0408,2.0383,2.0279
29-Mar-79,2.0515,2.0474,2.045,2.0369
30-Mar-79,2.063,2.0594,2.0577,2.0515
2-Apr-79,2.0661,2.062,2.0618,2.056
3-Apr-79,2.0596,2.0572,2.0572,2.0525
4-Apr-79,2.0627,2.0605,2.0582,2.0535
5-Apr-79,2.0694,2.0666,2.0654,2.0613
6-Apr-79,2.0872,2.0858,2.0844,2.0803
9-Apr-79,2.091,2.0881,2.0862,2.0815
10-Apr-79,2.1004,2.0983,2.0973,2.092
11-Apr-79,2.0869,2.0849,2.083,2.0785
12-Apr-79,2.0849,2.0814,2.0787,2.0739
17-Apr-79,2.0825,2.0798,2.0779,2.0717
18-Apr-79,2.0706,2.0672,2.062,2.0563
19-Apr-79,2.0788,2.0742,2.07,2.0636
20-Apr-79,2.0635,2.0586,2.0533,2.0448
23-Apr-79,2.0651,2.0592,2.0543,2.0462
24-Apr-79,2.0647,2.0599,2.0555,2.0458
25-Apr-79,2.0397,2.0354,2.0281,2.0185
26-Apr-79,2.0393,2.0342,2.0275,2.0178
27-Apr-79,2.0534,2.0478,2.0435,2.0339
30-Apr-79,2.0656,2.0619,2.0593,2.051
1-May-79,2.057,2.054,2.049,2.0402
2-May-79,2.0644,2.0611,2.058,2.0504
3-May-79,2.0742,2.0704,2.0674,2.0594
4-May-79,2.0716,2.0692,2.0666,2.0592
8-May-79,2.0638,2.0619,2.0566,2.0475
9-May-79,2.0608,2.0574,2.053,2.0437
10-May-79,2.0504,2.0463,2.041,2.0319
11-May-79,2.0445,2.0392,2.0336,2.0233
14-May-79,2.0396,2.0355,2.0311,2.021
15-May-79,2.0564,2.0532,2.0473,2.0374
16-May-79,2.0576,2.0534,2.0493,2.0391
17-May-79,2.0554,2.0513,2.0475,2.0374
18-May-79,2.0483,2.0429,2.039,2.0289
21-May-79,2.0395,2.0352,2.0309,2.0207
22-May-79,2.0416,2.0377,2.0315,2.0207
23-May-79,2.0545,2.0501,2.0458,2.0358
24-May-79,2.0514,2.0461,2.0415,2.0311
25-May-79,2.0488,2.0442,2.0392,2.0282
29-May-79,2.0544,2.05,2.0451,2.0341
30-May-79,2.0564,2.0522,2.048,2.0378
31-May-79,2.0695,2.0657,2.0615,2.0516
1-Jun-79,2.069,2.0653,2.0605,2.0508
4-Jun-79,2.0775,2.0725,2.0674,2.0577
5-Jun-79,2.0783,2.0751,2.069,2.0566
6-Jun-79,2.0707,2.0662,2.0596,2.047
7-Jun-79,2.0641,2.0592,2.0514,2.0384
8-Jun-79,2.0626,2.0575,2.0486,2.0355
11-Jun-79,2.0647,2.0586,2.0497,2.0364
12-Jun-79,2.0815,2.0745,2.0625,2.0435
13-Jun-79,2.0996,2.0894,2.0787,2.0597
14-Jun-79,2.0896,2.0794,2.0681,2.0486
15-Jun-79,2.0973,2.0875,2.0773,2.0572
18-Jun-79,2.1025,2.0909,2.0795,2.0579
19-Jun-79,2.1078,2.0977,2.0858,2.0633
20-Jun-79,2.1239,2.1132,2.1023,2.0817
21-Jun-79,2.1354,2.1252,2.1142,2.0935
22-Jun-79,2.1374,2.1269,2.1156,2.0955
25-Jun-79,2.161,2.1492,2.1377,2.1172
