"",BBEX3.D.CAD.XDR.DA.AC.000,BBEX3.D.CAD.XDR.DA.AC.000_FLAGS,BBEX3.D.CHF.XDR.DA.AC.000,BBEX3.D.CHF.XDR.DA.AC.000_FLAGS,BBEX3.D.CNY.XDR.DA.AC.000,BBEX3.D.CNY.XDR.DA.AC.000_FLAGS,BBEX3.D.DKK.XDR.DA.AC.000,BBEX3.D.DKK.XDR.DA.AC.000_FLAGS,BBEX3.D.EUR.XDR.DA.AC.000,BBEX3.D.EUR.XDR.DA.AC.000_FLAGS,BBEX3.D.GBP.XDR.DA.AC.000,BBEX3.D.GBP.XDR.DA.AC.000_FLAGS,BBEX3.D.JPY.XDR.DA.AC.000,BBEX3.D.JPY.XDR.DA.AC.000_FLAGS,BBEX3.D.NOK.XDR.DA.AC.000,BBEX3.D.NOK.XDR.DA.AC.000_FLAGS,BBEX3.D.SEK.XDR.DA.AC.000,BBEX3.D.SEK.XDR.DA.AC.000_FLAGS,BBEX3.D.USD.XDR.DA.AC.000,BBEX3.D.USD.XDR.DA.AC.000_FLAGS
"",Value of the special drawing right / XDR 1 = CAD ...,,Value of the special drawing right / XDR 1 = CHF ...,,Value of the special drawing right / XDR 1 = CNY ...,,Value of the special drawing right / XDR 1 = DKK ...,,Value of the special drawing right / XDR 1 = EUR ...,,Value of the special drawing right / XDR 1 = GBP ...,,Value of the special drawing right / XDR 1 = JPY ...,,Value of the special drawing right / XDR 1 = NOK ...,,Value of the special drawing right / XDR 1 = SEK ...,,Value of the special drawing right / XDR 1 = USD ...,
unit,CAD,,CHF,,CNY,,DKK,,EUR,,GBP,,JPY,,NOK,,SEK,,USD,
unit multiplier,one,,one,,one,,one,,one,,one,,one,,one,,one,,one,
last update,2022-05-05 14:30:10,,2022-05-05 14:30:11,,2022-05-05 14:30:13,,2022-05-05 14:30:15,,2022-05-05 14:31:43,,2022-05-05 14:31:44,,2022-05-05 14:33:12,,2022-05-05 14:34:43,,2022-05-05 14:37:15,,2022-05-05 14:38:42,
1974-07-01,,,,,,,,,,,,,,,,,,,1.206010,
1974-07-02,,,,,,,,,,,,,,,,,,,1.206380,
1974-07-03,,,,,,,,,,,,,,,,,,,1.208670,
1974-07-04,,,,,,,,,,,,,,,,,,,1.207130,
1974-07-05,,,,,,,,,,,,,,,,,,,1.207470,
1974-07-06,,,,,,,,,,,,,,,,,,,.,No value available
1974-07-07,,,,,,,,,,,,,,,,,,,.,No value available
1974-07-08,,,,,,,,,,,,,,,,,,,1.207580,
1974-07-09,,,,,,,,,,,,,,,,,,,1.205900,
1974-07-10,,,,,,,,,,,,,,,,,,,1.205470,
1974-07-11,,,,,,,,,,,,,,,,,,,1.203000,
1974-07-12,,,,,,,,,,,,,,,,,,,1.205270,
1974-07-13,,,,,,,,,,,,,,,,,,,.,No value available
1974-07-14,,,,,,,,,,,,,,,,,,,.,No value available
1974-07-15,,,,,,,,,,,,,,,,,,,1.206650,
1974-07-16,,,,,,,,,,,,,,,,,,,1.208450,
1974-07-17,,,,,,,,,,,,,,,,,,,1.207710,
1974-07-18,,,,,,,,,,,,,,,,,,,1.207740,
1974-07-19,,,,,,,,,,,,,,,,,,,1.207930,
1974-07-20,,,,,,,,,,,,,,,,,,,.,No value available
1974-07-21,,,,,,,,,,,,,,,,,,,.,No value available
1974-07-22,,,,,,,,,,,,,,,,,,,1.207740,
1974-07-23,,,,,,,,,,,,,,,,,,,1.208990,
1974-07-24,,,,,,,,,,,,,,,,,,,1.212736,
1974-07-25,,,,,,,,,,,,,,,,,,,1.212500,
1974-07-26,,,,,,,,,,,,,,,,,,,1.209380,
1974-07-27,,,,,,,,,,,,,,,,,,,.,No value available
1974-07-28,,,,,,,,,,,,,,,,,,,.,No value available
1974-07-29,,,,,,,,,,,,,,,,,,,1.206870,
1974-07-30,,,,,,,,,,,,,,,,,,,1.206050,
1974-07-31,,,,,,,,,,,,,,,,,,,1.202960,
1974-08-01,,,,,,,,,,,,,,,,,,,1.204710,
