Country_Name,Country_Code,Currency_Code,Currency_Name,IMF_country,Old_legacy_currency,locking rate
United States,111,USD,United States Dollar,United States,,
United Kingdom,112,GBP,United Kingdom Pound,United Kingdom,,
Guernsey,113,GGP,Guernsey pound,Guernsey,,
Jersey,117,JEP,Jersey pound,Jersey,,
Mann,118,IMP,Manx pound,Isle of Man,,
Austria,122,ATS,Austrian Schilling,Austria,Y,13.7603
Belgium,124,BEF,Belgian Franc,Belgium,Y,40.3399
Belgium-Luxembourg,126,,Belgian Franc,Belgium-Luxembourg,Y,40.3399
Denmark,128,DKK,Danish Krone,Denmark,,
France,132,FRF,French Franc,France,Y,6.55957
French Andorra,133,,French Franc ,French Andorra,Y,6.55957
Germany,134,DEM,German Mark,Germany,Y,1.95583
San Marino,135,,Italian Lira,"San Marino, Rep. of",Y,1936.27
Italy,136,ITL,Italian Lira,Italy,Y,1936.27
Luxembourg,137,LUF,Luxembourg Franc,Luxembourg,Y,40.3399
Netherlands,138,NLG,Dutch Guilder,Netherlands,Y,2.20371
Norway,142,NOK,Norwegian Krone,Norway,,
Sweden,144,SEK,Swedish Krona,Sweden,,
Switzerland,146,CHF,Swiss Franc,Switzerland,,
Canada,156,CAD,Canadian Dollar,Canada,,
Japan,158,JPY,Japanese Yen,Japan,,
Liechtenstein,161,,Swiss Franc,,,
Monaco,162,,French Franc,Monaco,Y,6.55957
Euro area,163,EUR,Euro,Euro Area,,
Finland,172,FIM,Finnish Markka,Finland,Y,5.94573
Greece,174,GRD,Greek Drachma,Greece,Y,340.75
Iceland,176,ISK,Icelandic Krona,Iceland,,
Ireland,178,IEP,Irish Pound,Ireland,Y,0.78756
Malta,181,MTL,Maltese Lira,Malta,Y,0.4293
Portugal,182,PTE,Portuguese Escudo,Portugal,Y,200.482
Balearic Islands,183,,Spanish Peseta,Balearic Islands,Y,166.386
Spain,184,ESP,Spanish Peseta,Spain,Y,166.386
Azores,185,,Portuguese Escudo,Azores,Y,200.482
Turkey,186,TRY,Turkish Lira,Turkey,,
Australia,193,AUD,Australian Dollar,Australia,,
New Zealand,196,NZD,New Zealand Dollar,New Zealand,,
South Africa,199,ZAR,South African Rand,South Africa,,
Argentina,213,ARS,Argentine Peso,Argentina,,
Bolivia,218,BOB,Bolivian Boliviano,Bolivia,,
Brazil,223,BRL,Brazilian Real,Brazil,,
Chile,228,CLP,Chilean Peso,Chile,,
Colombia,233,COP,Colombian Peso,Colombia,,
Costa Rica,238,CRC,Costa Rican Colon,Costa Rica,,
Dominican Republic,243,DOP,Dominican Peso,Dominican Rep.,,
